id,context,function,subFunction,name,skillElement,skillDescription,skillSynonyms,status
965,,Technology & IT,Infrastructure,Azure ML (machine learning),  ,,  ,Approved
966,,Technology & IT,Infrastructure,Azure Microsoft Certified Solutions,  ,,  ,Approved
967,,Technology & IT,Infrastructure,Azure Message Text property, messaging platforms ,,  ,Approved
968,,Technology & IT,Infrastructure,Azure MCSE (Microsoft Certified,  ,,  ,Approved
969,,Technology & IT,Infrastructure,Azure Marketplace,  ,,  ,Approved
970,,Technology & IT,Infrastructure,Azure Manager, closest instance globally distributing traffic to globally distributed data creating Traffic Manager ,,  ,Approved
971,,Technology & IT,Infrastructure,Azure Managed Object Format, (MOF) file managed service identities ,,  ,Approved
972,,Technology & It,Data Science,Azure Machine Learning,  ,,  ,Approved
973,,Technology & IT,Infrastructure,Azure LUIS, overview of machine learning and ,,  ,Approved
974,,Technology & IT,Infrastructure,Azure LTS (Long Term Support),  ,,  ,Approved
975,,Technology & IT,Infrastructure,Azure LRS (locally redundant, storage) ,,  ,Approved
976,,Technology & IT,Infrastructure,Azure Long Term Support (LTS),  ,,  ,Approved
977,,Technology & IT,Infrastructure,Azure Logic Apps Designer wizard,  ,,  ,Approved
978,,Technology & IT,Infrastructure,Azure Logic Apps,  ,,  ,Approved
979,,Technology & IT,Infrastructure,Azure Local Configuration Manager, LRS log files  streaming LCM locally redundant storage ,,  ,Approved
980,,Technology & IT,Infrastructure,Azure LCM (Local Configuration,  ,,  ,Approved
981,,Technology & IT,Infrastructure,Azure Kubernetes Service,  ,,  ,Approved
982,,Technology & IT,Infrastructure,Azure Kubernetes platform,  ,,  ,Approved
984,,Technology & IT,Infrastructure,Azure Key Vault, creating certificates injecting certificates ,,  ,Approved
985,,Technology & IT,Infrastructure,Azure JIT (just-in-time) updates,  ,,  ,Approved
986,,Technology & It,Infrastructure,Azure Jit (just-in-time),  ,,,Approved
987,,Technology & IT,Infrastructure,Azure IPv6 host records, isolation ,,  ,Approved
988,,Technology & IT,Infrastructure,Azure IPv4 host records,  ,,  ,Approved
989,,Technology & IT,Infrastructure,Azure IP pools,  ,,  ,Approved
990,,Technology & IT,Infrastructure,Azure IP flows  verifying,  ,,  ,Approved
991,,Technology & IT,Infrastructure,Azure IoT hubs, metrics  See performance met- metric alerts ,,  ,Approved
992,,Technology & IT,Hardware Engineering,Azure Iot Hub,  ,,  ,Approved
993,,Technology & IT,Infrastructure,Azure IoT (Internet of Things), analyze device data creating function apps to ,,  ,Approved
994,,Technology & IT,Infrastructure,Azure IoT, iotconnectionstring variable ,,  ,Approved
995,,Technology & IT,Infrastructure,Azure Internet Information Services, (IIS) internet load balancer ,,  ,Approved
996,,Technology & IT,Infrastructure,Azure Instance Metadata Service, instances  creating internal load balancer interface cards (IMDS) ,,  ,Approved
997,,Technology & IT,Infrastructure,Azure Infrastructure as a Service, infrastructure redundancy  with (IaaS) infrastructure as code (IaC) ,,  ,Approved
998,,Technology & It,Software Development And Implementation,Azure Infrastructure, Dynamic Inventory ,,  ,Approved
999,,Technology & IT,Infrastructure,Azure IMDS (Instance Metadata,  ,,  ,Approved
1000,,Technology & IT,Infrastructure,Azure IIS (Internet Information,  ,,  ,Approved
1001,,Technology & It,Software Development And Implementation,.net Core,  ,,  ,Approved
1002,,Technology & It,Software Development And Implementation,.net Framework / Ado.net,  ,,  ,Approved
1003,,Technology & It,Software Development And Implementation,.net Mvc,  ,,  ,Approved
1004,,Technology & IT,Information Technology - General,Adobe,  ,,  ,Approved
1009,,Technology & It,Software Development And Implementation,Ajax,  ,,  ,Approved
1010,,Technology & It,Software Development And Implementation,Algorithms,  ,,  ,Approved
1011,,Tech & IT,Infrastructure,Amazon Web Services (AWS),  ,,  ,Approved
1012,,Technology & It,Software Development And Implementation,Android Camera Api,  ,,  ,Approved
1013,,Technology & It,Software Development And Implementation,Android Sdk,  ,,  ,Approved
1014,,Technology & It,Software Development And Implementation,Android Studio,  ,,  ,Approved
1015,,Technology & It,Software Development And Implementation,Android Telephony,  ,,  ,Approved
1016,,Technology & It,Software Development And Implementation,Angular,  ,,  ,Approved
1017,,Technology & It,Software Development And Implementation,Angular 4,  ,,  ,Approved
1018,,Technology & It,Software Development And Implementation,Angular 6,  ,,  ,Approved
1019,,Technology & It,Software Development And Implementation,Angularjs,  ,,  ,Approved
1020,,Technology & IT,Configuration/Release Engineering,Ansible,  ,,  ,Approved
1021,,Technology & It,Software Development And Implementation,Apache Cordova,  ,,  ,Approved
1022,,Technology & It,Software Development And Implementation,Apache Flink,  ,,  ,Approved
1023,,Technology & It,Software Development And Implementation,Apache Kafka,  ,,  ,Approved
1024,,Technology & IT,Infrastructure,Azure,  ,,  ,Approved
1025,,Technology & IT,Infrastructure,Bash,  ,,  ,Approved
1026,,Technology & It,Software Development And Implementation,Web Technology,  ,,  ,Approved
1027,,Technology & It,Software Development And Implementation,Behavior-driven Development (bdd),  ,,  ,Approved
1028,,Technology & It,Data Science,Big Data Analytics Concepts,  ,,,Approved
1029,,Technology & IT,Blockchain,Blockchain,  ,,  ,Approved
1030,,Technology & It,Software Development And Implementation,Bootstrap,  ,,  ,Approved
1031,,Technology & IT,Application And Data Management,Business Intelligence and Data Warehousing,  ,,  ,Approved
1032,,Technology & It,Software Development And Implementation,C,  ,,  ,Approved
1033,,Technology & It,Software Development And Implementation,C#,  ,,  ,Approved
1034,,Technology & It,Software Development And Implementation,C# .net,  ,,  ,Approved
1035,,Technology & It,Data Science,Cassandra,  ,,,Approved
1036,,Technology & IT,Configuration/Release Engineering,Chef,  ,,  ,Approved
1037,,Technology & IT,Configuration/Release Engineering,CI/CD,  ,,  ,Approved
1038,,Technology & It,Data Science,Cloudera,  ,,,Approved
1039,,Technology & IT,Infrastructure,Computer Networks, Protocols Session Layer ,,  ,Approved
1040,,Technology & It,Software Development And Implementation,Core Java,  ,,  ,Approved
1041,,Technology & IT,Application And Data Management,Couchbase,  ,,  ,Approved
